id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbStandardBikes,nbEBikes,nbEmptyDocks,nbDocks
18,"Drury Lane, Covent Garden",001007,51.51477076,-0.12221963,true,false,1278426300000,,false,23,21,2,4,27
19,"Taviton Street, Bloomsbury",001009,51.52505093,-0.131161087,true,false,1278426720000,,false,16,16,0,14,30
20,"Drummond Street , Euston",000993,51.527326,-0.13605286,true,false,1544659200000,,false,13,12,1,15,28
21,"Lansdowne Drive, Hackney Central",003426,51.539834,-0.062806212,true,false,1278427740000,,false,16,15,1,10,26
22,"Northington Street , Holborn",003425,51.5222641,-0.114079481,true,false,1278428880000,,false,3,3,0,16,19
23,"Red Lion Square, Holborn",003421,51.51943538,-0.119123345,true,false,1278429300000,,false,2,2,0,14,16
24,"British Museum, Bloomsbury",000981,51.51908011,-0.124678402,true,false,1278430140000,,false,6,6,0,29,35
25,"Doric Way , Somers Town",001004,51.5288338,-0.132250369,true,false,1278433200000,,false,23,22,1,27,50
26,"Ampton Street , Clerkenwell",001019,51.52728093,-0.11829517,true,false,1278434160000,,false,7,7,0,14,21
27,"Bouverie Street, Temple",001021,51.51382102,-0.107927706,true,false,1278500160000,,false,16,16,0,17,33
28,"Bolsover Street, Fitzrovia",001025,51.52351808,-0.143613641,true,false,1278500460000,,false,2,1,1,17,19
29,"Hereford Road, Bayswater",001016,51.513735,-0.193487,true,false,1278501180000,,false,10,10,0,12,22
30,"Windsor Terrace, Hoxton",001029,51.52915444,-0.093421615,true,false,1278501420000,,false,24,23,1,0,24
31,"Fanshaw Street, Hoxton",003427,51.52953709,-0.083353323,true,false,1278501600000,,false,21,21,0,15,36
32,"Leonard Circus , Shoreditch",001020,51.52469624,-0.084439283,true,false,1278506700000,,false,26,26,0,17,43
33,"Central House, Aldgate",003430,51.515231,-0.07015,true,false,1278506940000,,false,14,14,0,4,18
34,"Pancras Road, King's Cross",003428,51.5341235,-0.129386874,true,false,1278507060000,,false,13,13,0,3,16
36,"De Vere Gardens, Kensington",003446,51.50173726,-0.184980612,true,false,1278519900000,,false,0,0,0,28,28
37,"Penywern Road, Earl's Court",003444,51.49159394,-0.192369256,true,false,1278520020000,,false,17,17,0,0,17
38,"Abingdon Villas, Kensington",003442,51.4973875,-0.197245586,true,false,1278584880000,,false,7,7,0,10,17
39,"Shoreditch High Street, Shoreditch",003445,51.5263778,-0.078130921,true,false,1278601740000,,false,34,34,0,7,41
40,"Commercial Street, Shoreditch",001083,51.52127071,-0.0755789,true,false,1278601980000,,false,13,13,0,3,16
41,"Pindar Street, Liverpool Street",001084,51.520955,-0.083493552,true,false,1278602280000,,false,0,0,0,24,24
42,"Wenlock Road , Hoxton",000979,51.53099181,-0.093903825,true,false,1278602700000,,false,26,25,1,2,28
43,"Crawford Street, Marylebone",001036,51.52026,-0.157183945,true,false,1278687720000,,false,5,4,1,13,18
44,"Bruton Street, Mayfair",001034,51.51073687,-0.144165239,true,false,1278687900000,,false,5,5,0,16,21
45,"Boston Place, Marylebone",001035,51.522511,-0.162298,true,false,1278691320000,,false,26,26,0,0,26
46,"Nesham Street, Wapping",001031,51.507131,-0.06691,true,false,1278691800000,,false,8,8,0,8,16
47,"Warwick Avenue Station, Maida Vale",001027,51.52334476,-0.183846408,true,false,1278749160000,,false,18,17,1,1,19
48,"Godliman Street, St. Paul's",000971,51.51248445,-0.099141408,true,false,1278749460000,,false,12,12,0,13,25
49,"Curzon Street, Mayfair",003437,51.50706909,-0.145904427,true,false,1278749940000,,false,2,2,0,14,16
50,"East Road, Hoxton",001054,51.52867339,-0.087459376,true,false,1278750240000,,false,16,16,0,11,27
51,"Finsbury Library , Finsbury",000986,51.52671796,-0.104298194,true,false,1278750540000,,false,13,13,0,16,29
52,"Roscoe Street, St. Luke's",001026,51.52295439,-0.094934859,true,false,1278750840000,,false,18,17,1,0,18
53,"Grafton Street, Mayfair",003431,51.5099923,-0.143495266,true,false,1278752580000,,false,9,9,0,9,18
54,"Golden Lane, Barbican",000967,51.52174785,-0.094475072,true,false,1278766740000,,false,27,26,1,0,27
55,"Finsbury Circus, Liverpool Street",000984,51.51707521,-0.086685542,true,false,1278766980000,,false,7,7,0,26,33
56,"Paddington Street, Marylebone",001033,51.52058381,-0.154701411,true,false,1278767220000,,false,5,5,0,11,16
57,"Guilford Street , Bloomsbury",000974,51.52334672,-0.120202614,true,false,1278767460000,,false,11,11,0,21,32
58,"New Inn Yard, Shoreditch",001032,51.52452699,-0.079248081,true,false,1278767700000,,false,13,12,1,7,20
60,"Lisson Grove, St. John's Wood",001030,51.52644828,-0.172190727,true,false,1278769140000,,false,3,2,1,15,18
61,"Great Dover Street, The Borough",001017,51.49738251,-0.089446947,true,false,1278773820000,,false,32,31,1,1,33
62,"Cotton Garden Estate, Kennington",000990,51.4907579,-0.106323685,true,false,1278773940000,,false,6,6,0,18,24
63,"Murray Grove , Hoxton",000989,51.53089041,-0.089782579,true,false,1278774120000,,false,18,17,1,9,27
64,"William IV Street, Strand",001028,51.50946212,-0.124749274,true,false,1278774300000,,false,21,21,0,5,26
65,"Gower Place , Euston",000969,51.52522753,-0.13518856,true,false,1278840660000,,false,1,1,0,16,17
66,"Holborn Circus, Holborn",000982,51.51795029,-0.108657431,true,false,1278845280000,,false,1,1,0,39,40
67,"Hatton Garden, Holborn",000985,51.51882555,-0.108028472,true,false,1278847440000,,false,1,1,0,27,28
68,"Theobald's Road , Holborn",000975,51.52059681,-0.116688468,true,false,1278857040000,,false,10,10,0,16,26
69,"Euston Road, Euston",000983,51.5262363,-0.134407652,true,false,1278861540000,,false,4,4,0,20,24
70,"Calshot Street , King's Cross",001066,51.53136059,-0.117069978,true,false,1278863340000,,false,24,23,1,0,24
71,"Newgate Street , St. Paul's",001074,51.5154186,-0.098850915,true,false,1278924900000,,false,1,1,0,33,34
72,"Farringdon Lane, Clerkenwell",003432,51.52352001,-0.108340165,true,false,1276948860000,,false,6,5,1,10,16
73,"Old Street Station, St. Luke's",001064,51.52548,-0.089659871,true,false,1278941040000,,false,6,4,2,23,29
74,"Vauxhall Cross, Vauxhall",001000,51.48591714,-0.124469948,true,false,1278941160000,,false,13,13,0,4,17
75,"Torrens Street, Angel",001060,51.53219984,-0.105480698,true,false,1278945180000,,false,15,12,3,4,19
76,"Longford Street, The Regent's Park",000976,51.52559505,-0.144083893,true,false,1278946560000,,false,16,15,1,5,21
77,"Russell Square Station, Bloomsbury",000978,51.52341837,-0.124121774,true,false,1278946860000,,false,21,20,1,5,26
78,"Sadlers Sports Centre, Finsbury",003433,51.52486887,-0.099489485,true,false,1278948480000,,false,12,11,1,5,17
79,"Arundel Street, Temple",003455,51.511726,-0.11385596,true,false,1509018360000,,false,7,7,0,11,18
80,"Webber Street , Southwark",003448,51.50069361,-0.102091246,true,false,1278952440000,,false,45,45,0,0,45
81,"Great Titchfield Street, Fitzrovia",003450,51.52025302,-0.141327271,true,false,1279012980000,,false,3,3,0,16,19
82,"Chancery Lane, Holborn",003453,51.514274,-0.111257,true,false,1279015680000,,false,0,0,0,15,15
83,"Panton Street, West End",003452,51.50963938,-0.131510949,true,false,1279015800000,,false,9,9,0,12,21
84,"Breams Buildings, Holborn",003449,51.51593725,-0.111778348,true,false,1279020240000,,false,1,1,0,24,25
85,"Tanner Street, Bermondsey",000994,51.50064702,-0.078600401,true,false,1279026060000,,false,19,18,1,22,41
86,"Sancroft Street, Vauxhall",003434,51.48947903,-0.115156562,true,false,1279027140000,,false,13,13,0,11,24
87,"Devonshire Square, Liverpool Street",003438,51.51646835,-0.079684557,true,false,1279027680000,,false,1,1,0,15,16
88,"Bayley Street , Bloomsbury",001006,51.51858757,-0.132053392,true,false,1279028280000,,false,8,8,0,17,25
89,"Tavistock Place, Bloomsbury",003439,51.5262503,-0.123509611,true,false,1279029360000,,false,13,13,0,6,19
90,"Harrington Square 1, Camden Town",001038,51.53301907,-0.139174593,true,false,1279030020000,,false,4,4,0,23,27
91,"Walnut Tree Walk, Vauxhall",001076,51.49368637,-0.111014912,true,false,1279036740000,,false,19,19,0,1,20
92,"Borough Road, Elephant & Castle",001082,51.49889832,-0.100440521,true,false,1279037040000,,false,36,36,0,5,41
93,"Cloudesley Road, Angel",002586,51.53440868,-0.109025404,true,false,1279037760000,,false,37,34,3,0,37
94,"Bricklayers Arms, Borough",001070,51.49506109,-0.085814489,true,false,1279038420000,,false,28,28,0,0,28
95,"Aldersgate Street, Barbican",001065,51.5208417,-0.097340162,true,false,1279096560000,,false,4,3,1,11,15
96,"Falkirk Street, Hoxton",001047,51.53095071,-0.078505384,true,false,1279096980000,,false,9,7,2,17,26
97,"Gloucester Road (North), Kensington",003447,51.49792478,-0.183834706,true,false,1279097580000,,false,5,5,0,13,18
98,"Hampstead Road, Euston",000972,51.52554222,-0.138231303,true,false,1279099080000,,false,3,3,0,51,54
99,"Old Quebec Street, Marylebone",001085,51.51457763,-0.158264483,true,false,1279099680000,,false,3,2,1,13,16
100,"Albert Embankment, Vauxhall",001059,51.49043573,-0.122806861,true,false,1279099860000,,false,6,6,0,18,24
101,"Queen Street 1, Bank",000999,51.51155322,-0.0929401,true,false,1279102680000,,false,3,2,1,19,22
102,"Jewry Street, Aldgate",001045,51.51340693,-0.076793375,true,false,1279102860000,,false,3,3,0,14,17
103,"Vicarage Gate, Kensington",003441,51.50472376,-0.192538767,true,false,1279103520000,,false,2,2,0,16,18
104,"Crosswall, Tower",000991,51.51159481,-0.077121322,true,false,1279103760000,,false,33,32,1,1,34
105,"Westbourne Grove, Bayswater",001041,51.51552971,-0.190240716,true,false,1279105320000,,false,12,9,3,14,26
106,"Woodstock Street, Mayfair",001042,51.51410514,-0.147301667,true,false,1279106880000,,false,4,4,0,17,21
107,"Finsbury Leisure Centre, St. Luke's",001049,51.52600832,-0.096317627,true,false,1279107480000,,false,19,19,0,1,20
